wordpair_id,In-In,In-Out,Out-In,Out-Out,Acc,ClueFinal,row_id,PatchMethod
oak-tree,0,1,1,0,1,plant,29,NumberOfUniqueClues
olive-real,2,0,0,0,0,oil,30,NumberOfUniqueClues
regret-rude,1,1,0,0,1,disrespectful,31,NumberOfUniqueClues
sit-stand,0,1,0,1,1,waiting,32,NumberOfUniqueClues
stern-wind,0,1,1,0,0,strong,33,NumberOfUniqueClues
trauma-weird,0,1,1,0,0,painful,34,NumberOfUniqueClues
ankle-travel,0,1,0,1,0,feet,35,NumberOfUniqueClues
army-drum,0,1,1,0,1,war,36,NumberOfUniqueClues
ash-snake,1,1,0,1,0,gray,37,NumberOfUniqueClues
bet-dream,0,1,0,1,0,wishes,38,NumberOfUniqueClues
birth-hand,2,0,0,0,0,human,39,NumberOfUniqueClues
bone-garage,0,1,1,0,0,dog,40,NumberOfUniqueClues
boot-crust,0,1,0,1,0,dirt,41,NumberOfUniqueClues
bowl-sun,0,1,1,0,1,spherical,42,NumberOfUniqueClues
cage-glass,0,1,0,1,0,enclosure,43,NumberOfUniqueClues
candle-wick,2,0,0,0,0,burn,44,NumberOfUniqueClues
cave-knight,0,1,0,1,1,dark,45,NumberOfUniqueClues
chair-table,0,1,0,1,1,furniture,46,NumberOfUniqueClues
chapel-feet,1,1,0,0,0,walk,47,NumberOfUniqueClues
east-short,1,1,0,0,0,directions,48,NumberOfUniqueClues
elm-rock,1,1,0,0,0,hard,49,NumberOfUniqueClues
giant-subtle,2,0,0,0,0,gentle,50,NumberOfUniqueClues
glow-quick,0,1,1,0,0,makeup,51,NumberOfUniqueClues
gold-silver,2,0,0,0,0,elements,52,NumberOfUniqueClues
gums-teeth,0,1,1,0,1,mouth,53,NumberOfUniqueClues
happy-sad,0,1,0,1,1,emotions,54,NumberOfUniqueClues
holy-kind,0,1,0,1,0,saint,55,NumberOfUniqueClues
jump-leap,0,1,1,0,1,motion,56,NumberOfUniqueClues
lion-tiger,2,0,0,0,1,cats,57,NumberOfUniqueClues
new-old,0,1,0,1,1,conditions,58,NumberOfUniqueClues
oak-tree,0,1,1,0,1,plant,59,NumberOfUniqueClues
olive-real,0,1,1,0,0,plant,60,NumberOfUniqueClues
regret-rude,1,1,0,0,1,mean,61,NumberOfUniqueClues
sit-stand,2,0,0,0,1,position,62,NumberOfUniqueClues
stern-wind,2,0,0,0,0,harsh,63,NumberOfUniqueClues
trauma-weird,1,1,0,0,0,harm,64,NumberOfUniqueClues
ankle-travel,0,1,0,1,0,plane,65,NumberOfUniqueClues
army-drum,0,1,0,1,0,colonizer,66,NumberOfUniqueClues
ash-snake,0,1,0,1,0,reptile,67,NumberOfUniqueClues
bet-dream,2,0,0,0,0,lottery,68,NumberOfUniqueClues
birth-hand,1,1,0,0,0,doula,69,NumberOfUniqueClues
bone-garage,1,1,0,0,1,chicken,70,NumberOfUniqueClues
boot-crust,2,0,0,0,1,shoe pie,71,NumberOfUniqueClues
bowl-sun,1,1,0,0,0,circle,72,NumberOfUniqueClues
cage-glass,1,1,0,0,0,bird,73,NumberOfUniqueClues
candle-wick,0,1,0,1,1,fire,74,NumberOfUniqueClues
cave-knight,0,1,0,1,0,batman,75,NumberOfUniqueClues
chair-table,0,1,0,1,1,furniture,76,NumberOfUniqueClues
chapel-feet,1,1,0,0,1,church,77,NumberOfUniqueClues
east-short,0,1,0,1,1,west,78,NumberOfUniqueClues
elm-rock,1,1,0,0,0,stone,79,NumberOfUniqueClues
giant-subtle,0,1,1,0,0,lowkey,80,NumberOfUniqueClues
glow-quick,2,0,0,0,0,golden,81,NumberOfUniqueClues
gold-silver,1,1,0,0,1,jewelry,82,NumberOfUniqueClues
gums-teeth,0,1,0,1,1,dentist,83,NumberOfUniqueClues
happy-sad,0,1,1,0,1,emotions,84,NumberOfUniqueClues
holy-kind,1,1,0,0,1,Jesus,85,NumberOfUniqueClues
jump-leap,0,1,0,1,0,track,86,NumberOfUniqueClues
lion-tiger,1,1,0,0,0,wild,87,NumberOfUniqueClues
new-old,1,1,0,0,0,testaments,88,NumberOfUniqueClues
oak-tree,2,0,0,0,1,branch,89,NumberOfUniqueClues
olive-real,2,0,0,0,0,grape,90,NumberOfUniqueClues
regret-rude,0,1,1,0,1,guilt,91,NumberOfUniqueClues
sit-stand,0,1,0,1,0,opposite,92,NumberOfUniqueClues
stern-wind,0,1,0,1,0,ship,93,NumberOfUniqueClues
trauma-weird,0,1,0,1,0,emotional,94,NumberOfUniqueClues
ankle-travel,1,1,0,0,1,basketball,95,NumberOfUniqueClues
army-drum,0,1,0,1,1,boom,96,NumberOfUniqueClues
ash-snake,0,1,1,0,0,Voldemort,97,NumberOfUniqueClues
bet-dream,0,1,0,1,0,school,98,NumberOfUniqueClues
birth-hand,0,1,1,0,0,baby,99,NumberOfUniqueClues
bone-garage,0,1,0,1,0,car,100,NumberOfUniqueClues
boot-crust,1,1,0,0,1,muddy,101,NumberOfUniqueClues
bowl-sun,1,1,0,0,0,round,102,NumberOfUniqueClues
cage-glass,1,1,0,0,1,fishbowl,103,NumberOfUniqueClues
candle-wick,2,0,0,0,1,scented,104,NumberOfUniqueClues
cave-knight,0,1,0,1,0,batman,105,NumberOfUniqueClues
chair-table,0,1,1,0,1,furniture,106,NumberOfUniqueClues
chapel-feet,0,1,0,1,1,mosque,107,NumberOfUniqueClues
east-short,0,1,1,0,1,Delaware,108,NumberOfUniqueClues
elm-rock,0,1,0,1,0,mountains,109,NumberOfUniqueClues
giant-subtle,0,1,0,1,0,Kareem,110,NumberOfUniqueClues
glow-quick,0,1,0,1,0,puberty,111,NumberOfUniqueClues
gold-silver,1,1,0,0,1,jewelry,112,NumberOfUniqueClues
gums-teeth,0,1,1,0,1,mouth,113,NumberOfUniqueClues
happy-sad,0,1,1,0,1,emotions,114,NumberOfUniqueClues
holy-kind,0,1,1,0,1,saint,115,NumberOfUniqueClues
jump-leap,0,1,0,1,1,hop,116,NumberOfUniqueClues
lion-tiger,0,1,0,1,1,predator,117,NumberOfUniqueClues
new-old,0,1,0,1,0,vintage,118,NumberOfUniqueClues
oak-tree,1,1,0,0,1,wood,119,NumberOfUniqueClues
olive-real,0,1,0,1,0,green,120,NumberOfUniqueClues
regret-rude,1,1,0,0,1,rancor,121,NumberOfUniqueClues
sit-stand,1,1,0,0,1,squat,122,NumberOfUniqueClues
stern-wind,2,0,0,0,0,strict,123,NumberOfUniqueClues
trauma-weird,0,1,0,1,0,bully,124,NumberOfUniqueClues
ankle-travel,2,0,0,0,1,foot,125,NumberOfUniqueClues
army-drum,2,0,0,0,1,military,126,NumberOfUniqueClues
ash-snake,2,0,0,0,1,reptile,127,NumberOfUniqueClues
bet-dream,0,1,1,0,1,goal,128,NumberOfUniqueClues
birth-hand,2,0,0,0,1,fingers,129,NumberOfUniqueClues
bone-garage,1,1,0,0,1,shed,130,NumberOfUniqueClues
boot-crust,2,0,0,0,1,dirty,131,NumberOfUniqueClues
bowl-sun,0,1,0,1,1,warm,132,NumberOfUniqueClues
cage-glass,0,1,0,1,1,bird,133,NumberOfUniqueClues
candle-wick,1,1,0,0,1,burn,134,NumberOfUniqueClues
cave-knight,0,1,0,1,1,soldier,135,NumberOfUniqueClues
chair-table,0,1,0,1,1,dining,136,NumberOfUniqueClues
chapel-feet,1,1,0,0,1,church,137,NumberOfUniqueClues
east-short,1,1,0,0,1,small,138,NumberOfUniqueClues
elm-rock,2,0,0,0,1,solid,139,NumberOfUniqueClues
giant-subtle,0,1,0,1,1,noticeable,140,NumberOfUniqueClues
glow-quick,1,1,0,0,0,light,141,NumberOfUniqueClues
gold-silver,1,1,0,0,1,bronze,142,NumberOfUniqueClues
gums-teeth,2,0,0,0,1,mouth,143,NumberOfUniqueClues
happy-sad,1,1,0,0,1,mood,144,NumberOfUniqueClues
holy-kind,0,1,0,1,1,angel,145,NumberOfUniqueClues
jump-leap,0,1,1,0,1,hop,146,NumberOfUniqueClues
lion-tiger,0,1,1,0,1,cats,147,NumberOfUniqueClues
new-old,1,1,0,0,0,condition,148,NumberOfUniqueClues
oak-tree,2,0,0,0,1,wood,149,NumberOfUniqueClues
olive-real,0,1,1,0,1,authentic,150,NumberOfUniqueClues
regret-rude,0,1,1,0,0,unfortunate,151,NumberOfUniqueClues
sit-stand,0,1,0,1,1,position,152,NumberOfUniqueClues
stern-wind,1,1,0,0,1,sailing,153,NumberOfUniqueClues
trauma-weird,2,0,0,0,0,traffic,154,NumberOfUniqueClues
ankle-travel,0,1,0,1,0,move,155,NumberOfUniqueClues
army-drum,1,1,0,0,0,band,156,NumberOfUniqueClues
ash-snake,1,1,0,0,0,slither,157,NumberOfUniqueClues
bet-dream,1,1,0,0,0,win,158,NumberOfUniqueClues
birth-hand,0,1,0,1,1,body,159,NumberOfUniqueClues
bone-garage,0,1,1,0,0,body,160,NumberOfUniqueClues
boot-crust,1,1,0,0,0,step,161,NumberOfUniqueClues
bowl-sun,1,1,0,0,0,salad,162,NumberOfUniqueClues
cage-glass,1,1,0,0,1,enclosed,163,NumberOfUniqueClues
candle-wick,1,1,0,0,1,fire,164,NumberOfUniqueClues
cave-knight,0,1,0,1,0,dark,165,NumberOfUniqueClues
chair-table,0,1,1,0,1,furniture,166,NumberOfUniqueClues
chapel-feet,1,1,0,0,0,prayer,167,NumberOfUniqueClues
east-short,2,0,0,0,0,direction,168,NumberOfUniqueClues
elm-rock,2,0,0,0,0,nature,169,NumberOfUniqueClues
giant-subtle,0,1,0,1,0,size,170,NumberOfUniqueClues
glow-quick,2,0,0,0,0,bright,171,NumberOfUniqueClues
gold-silver,1,1,0,0,1,valuable,172,NumberOfUniqueClues
gums-teeth,0,1,0,1,1,dentist,173,NumberOfUniqueClues
happy-sad,1,1,0,0,1,feeling,174,NumberOfUniqueClues
holy-kind,1,1,0,0,0,religious,175,NumberOfUniqueClues
jump-leap,2,0,0,0,1,height,176,NumberOfUniqueClues
lion-tiger,1,1,0,0,0,animal,177,NumberOfUniqueClues
new-old,1,1,0,0,0,age,178,NumberOfUniqueClues
oak-tree,0,1,1,0,1,plant,179,NumberOfUniqueClues
olive-real,0,1,1,0,0,food,180,NumberOfUniqueClues
regret-rude,0,1,1,0,0,mean,181,NumberOfUniqueClues
sit-stand,1,1,0,0,0,opposite,182,NumberOfUniqueClues
stern-wind,0,1,0,1,0,sailing,183,NumberOfUniqueClues
trauma-weird,2,0,0,0,0,unpleasant,184,NumberOfUniqueClues
ankle-travel,0,1,0,1,0,walking,185,NumberOfUniqueClues
army-drum,2,0,0,0,0,band,186,NumberOfUniqueClues
ash-snake,0,1,0,1,0,cremation,187,NumberOfUniqueClues
bet-dream,0,1,0,1,0,chance,188,NumberOfUniqueClues
birth-hand,1,1,0,0,0,gynecologist,189,NumberOfUniqueClues
bone-garage,0,1,0,1,0,calcium,190,NumberOfUniqueClues
boot-crust,2,0,0,0,0,shoe,191,NumberOfUniqueClues
bowl-sun,0,1,1,0,0,cereal,192,NumberOfUniqueClues
cage-glass,0,1,1,0,0,zoo,193,NumberOfUniqueClues
candle-wick,2,0,0,0,1,wax,194,NumberOfUniqueClues
cave-knight,0,1,1,0,0,quest,195,NumberOfUniqueClues
chair-table,0,1,1,0,1,dining,196,NumberOfUniqueClues
chapel-feet,2,0,0,0,0,church,197,NumberOfUniqueClues
east-short,1,1,0,0,0,direction,198,NumberOfUniqueClues
elm-rock,0,1,1,0,0,forest,199,NumberOfUniqueClues
giant-subtle,0,1,1,0,0,ironic,200,NumberOfUniqueClues
glow-quick,2,0,0,0,1,spark,201,NumberOfUniqueClues
gold-silver,0,1,0,1,1,metals,202,NumberOfUniqueClues
gums-teeth,0,1,0,1,1,floss,203,NumberOfUniqueClues
happy-sad,0,1,1,0,1,emotions,204,NumberOfUniqueClues
holy-kind,0,1,1,0,1,church,205,NumberOfUniqueClues
jump-leap,0,1,0,1,1,elevate,206,NumberOfUniqueClues
lion-tiger,0,1,0,1,1,cat,207,NumberOfUniqueClues
new-old,0,1,0,1,1,opposites,208,NumberOfUniqueClues
oak-tree,0,2,1,0,1,plant,209,NumberOfUniqueClues
olive-real,0,1,0,1,0,genuine,210,NumberOfUniqueClues
regret-rude,0,1,0,1,1,mean,211,NumberOfUniqueClues
sit-stand,0,1,1,0,0,vertical,212,NumberOfUniqueClues
stern-wind,0,1,0,1,0,ship,213,NumberOfUniqueClues
trauma-weird,0,1,0,1,1,triggering,214,NumberOfUniqueClues
ankle-travel,1,1,0,0,0,hike,215,NumberOfUniqueClues
army-drum,2,0,0,0,1,marching,216,NumberOfUniqueClues
ash-snake,0,1,0,1,0,underworld,217,NumberOfUniqueClues
bet-dream,0,1,0,1,0,goal,218,NumberOfUniqueClues
birth-hand,1,1,0,0,1,give,219,NumberOfUniqueClues
bone-garage,0,1,0,1,0,dog,220,NumberOfUniqueClues
boot-crust,2,0,0,0,0,mud,221,NumberOfUniqueClues
bowl-sun,2,0,0,0,1,round,222,NumberOfUniqueClues
cage-glass,1,1,0,0,1,enclosure,223,NumberOfUniqueClues
candle-wick,2,0,0,0,1,flame,224,NumberOfUniqueClues
cave-knight,0,1,1,0,1,dragon,225,NumberOfUniqueClues
chair-table,0,1,1,0,1,dinner,226,NumberOfUniqueClues
chapel-feet,0,1,0,1,1,baptism,227,NumberOfUniqueClues
east-short,0,1,0,1,0,direction,228,NumberOfUniqueClues
elm-rock,1,1,0,0,0,forest,229,NumberOfUniqueClues
giant-subtle,0,1,0,1,0,stalk,230,NumberOfUniqueClues
glow-quick,1,1,0,0,0,shooting star,231,NumberOfUniqueClues
gold-silver,0,1,1,0,1,metal,232,NumberOfUniqueClues
gums-teeth,2,0,0,0,1,dentist,233,NumberOfUniqueClues
happy-sad,0,1,1,0,1,emotion,234,NumberOfUniqueClues
holy-kind,2,0,0,0,0,Jesus,235,NumberOfUniqueClues
jump-leap,0,1,0,1,1,skip,236,NumberOfUniqueClues
lion-tiger,1,1,0,0,1,cats,237,NumberOfUniqueClues
new-old,0,1,0,1,1,edition,238,NumberOfUniqueClues
oak-tree,1,1,0,0,0,arbor,239,NumberOfUniqueClues
olive-real,2,0,0,0,0,tree,240,NumberOfUniqueClues
regret-rude,0,1,0,1,1,offend,241,NumberOfUniqueClues
sit-stand,1,1,0,0,0,wait,242,NumberOfUniqueClues
stern-wind,1,1,0,0,0,sailboat,243,NumberOfUniqueClues
trauma-weird,0,1,0,1,0,unexpected,244,NumberOfUniqueClues
ankle-travel,0,1,0,1,0,walking,245,NumberOfUniqueClues
army-drum,1,1,0,0,1,march,246,NumberOfUniqueClues
ash-snake,0,1,0,2,0,deadly,247,NumberOfUniqueClues
bet-dream,0,1,1,0,0,risky,248,NumberOfUniqueClues
birth-hand,0,1,0,1,0,bless,249,NumberOfUniqueClues
bone-garage,1,1,0,0,0,door,250,NumberOfUniqueClues
boot-crust,2,0,0,0,0,foot,251,NumberOfUniqueClues
bowl-sun,0,1,1,0,0,hot,252,NumberOfUniqueClues
cage-glass,0,1,0,1,0,surface,253,NumberOfUniqueClues
candle-wick,2,0,0,0,1,lighter,254,NumberOfUniqueClues
cave-knight,0,1,1,0,1,dark,255,NumberOfUniqueClues
chair-table,1,1,0,0,1,dining,256,NumberOfUniqueClues
chapel-feet,0,1,0,1,0,pray,257,NumberOfUniqueClues
east-short,1,1,0,0,0,direction,258,NumberOfUniqueClues
elm-rock,2,0,0,0,0,earth,259,NumberOfUniqueClues
giant-subtle,1,1,0,0,0,extremes,260,NumberOfUniqueClues
glow-quick,0,1,1,0,0,rapid,261,NumberOfUniqueClues
gold-silver,0,1,1,0,1,currency,262,NumberOfUniqueClues
gums-teeth,1,1,0,0,1,mouth,263,NumberOfUniqueClues
happy-sad,1,1,0,0,1,emotions,264,NumberOfUniqueClues
holy-kind,1,1,0,0,0,nice,265,NumberOfUniqueClues
jump-leap,1,1,0,0,0,up,266,NumberOfUniqueClues
lion-tiger,1,1,0,0,1,predators,267,NumberOfUniqueClues
new-old,0,1,1,0,0,time,268,NumberOfUniqueClues
oak-tree,1,1,0,0,0,plant,269,NumberOfUniqueClues
olive-real,0,1,0,1,0,oil,270,NumberOfUniqueClues
regret-rude,1,1,0,0,0,bad,271,NumberOfUniqueClues
sit-stand,0,1,0,1,0,floor,272,NumberOfUniqueClues
stern-wind,0,1,0,1,1,harsh,273,NumberOfUniqueClues
trauma-weird,0,1,0,1,0,pain,274,NumberOfUniqueClues
ankle-travel,2,0,0,0,0,vacation,275,NumberOfUniqueClues
army-drum,2,0,0,0,1,marching,276,NumberOfUniqueClues
ash-snake,0,1,1,0,0,twisty,277,NumberOfUniqueClues
bet-dream,1,1,0,0,0,gamble,278,NumberOfUniqueClues
birth-hand,0,1,0,1,0,baby,279,NumberOfUniqueClues
bone-garage,1,1,0,0,0,car,280,NumberOfUniqueClues
boot-crust,1,1,0,0,0,clump,281,NumberOfUniqueClues
bowl-sun,0,1,0,1,1,round,282,NumberOfUniqueClues
cage-glass,0,1,0,1,0,entrap,283,NumberOfUniqueClues
candle-wick,1,1,0,0,1,light,284,NumberOfUniqueClues
cave-knight,1,1,0,0,0,medieval,285,NumberOfUniqueClues
chair-table,0,1,1,0,1,dining,286,NumberOfUniqueClues
chapel-feet,0,1,0,1,0,vertical,287,NumberOfUniqueClues
east-short,0,1,0,1,0,direction,288,NumberOfUniqueClues
elm-rock,2,0,0,0,0,mineral,289,NumberOfUniqueClues
giant-subtle,2,0,0,0,0,discreet,290,NumberOfUniqueClues
glow-quick,2,0,0,0,0,lighter,291,NumberOfUniqueClues
gold-silver,2,0,0,0,1,metals,292,NumberOfUniqueClues
gums-teeth,0,1,1,0,1,mouth,293,NumberOfUniqueClues
happy-sad,2,0,0,0,1,emotions,294,NumberOfUniqueClues
holy-kind,0,1,1,0,1,morals,295,NumberOfUniqueClues
jump-leap,2,0,0,0,1,bounce,296,NumberOfUniqueClues
lion-tiger,2,0,0,0,1,jungle,297,NumberOfUniqueClues
new-old,1,1,0,0,0,time,298,NumberOfUniqueClues
oak-tree,1,1,0,0,1,forest,299,NumberOfUniqueClues
olive-real,0,1,0,1,0,food,300,NumberOfUniqueClues
regret-rude,2,0,0,0,1,negative,301,NumberOfUniqueClues
sit-stand,2,0,0,0,0,desks,302,NumberOfUniqueClues
stern-wind,2,0,0,0,0,boats,303,NumberOfUniqueClues
trauma-weird,1,1,0,0,0,unusual,304,NumberOfUniqueClues
ankle-travel,2,2,1,0,1,boots,305,NumberOfUniqueClues
ash-snake,0,2,1,1,0,poisonous,306,NumberOfUniqueClues
bet-dream,1,1,0,0,0,win,307,NumberOfUniqueClues
birth-hand,1,1,0,0,0,hold,308,NumberOfUniqueClues
boot-crust,1,1,0,0,0,dirty,309,NumberOfUniqueClues
bowl-sun,0,1,0,1,0,ice cream,310,NumberOfUniqueClues
cage-glass,0,1,1,0,1,aquarium,311,NumberOfUniqueClues
cave-knight,1,1,0,0,1,medieval,312,NumberOfUniqueClues
east-short,2,0,0,0,0,drive,313,NumberOfUniqueClues
elm-rock,0,1,1,1,0,elk,314,NumberOfUniqueClues
glow-quick,2,0,0,0,1,spark,315,NumberOfUniqueClues
gold-silver,0,1,0,1,1,bronze,316,NumberOfUniqueClues
gums-teeth,1,1,0,0,1,mouth,317,NumberOfUniqueClues
happy-sad,0,1,0,1,1,emotion,318,NumberOfUniqueClues
holy-kind,0,1,0,1,1,commandments,319,NumberOfUniqueClues
jump-leap,0,1,1,0,1,hop,320,NumberOfUniqueClues
lion-tiger,0,1,0,1,1,cat,321,NumberOfUniqueClues
new-old,0,1,0,1,0,or,322,NumberOfUniqueClues
oak-tree,2,0,0,0,0,maple,323,NumberOfUniqueClues
regret-rude,1,1,0,0,1,mistake,324,NumberOfUniqueClues
sit-stand,2,0,0,0,1,legs,325,NumberOfUniqueClues
stern-wind,0,1,0,1,0,cereal,326,NumberOfUniqueClues
ankle-travel,2,0,0,0,0,arrest,327,NumberOfUniqueClues
army-drum,0,1,1,0,1,march,328,NumberOfUniqueClues
ash-snake,1,1,0,0,0,dangerous,329,NumberOfUniqueClues
bet-dream,0,1,0,1,0,uncertain,330,NumberOfUniqueClues
birth-hand,0,1,0,1,0,delivery,331,NumberOfUniqueClues
bone-garage,0,1,0,1,0,storage,332,NumberOfUniqueClues
boot-crust,1,1,0,0,1,dirty,333,NumberOfUniqueClues
bowl-sun,0,1,0,1,0,round,334,NumberOfUniqueClues
cage-glass,2,1,0,0,0,barrier,335,NumberOfUniqueClues
candle-wick,1,1,0,0,1,burn,336,NumberOfUniqueClues
cave-knight,1,1,0,0,0,dungeon,337,NumberOfUniqueClues
chair-table,1,1,0,0,0,furniture,338,NumberOfUniqueClues
chapel-feet,0,1,1,0,0,choir,339,NumberOfUniqueClues
east-short,1,1,0,0,0,Tennessee,340,NumberOfUniqueClues
elm-rock,0,1,1,1,0,nature,341,NumberOfUniqueClues
giant-subtle,0,1,0,1,0,gentle,342,NumberOfUniqueClues
glow-quick,0,1,1,1,0,firework,343,NumberOfUniqueClues
gold-silver,2,0,0,0,1,metal,344,NumberOfUniqueClues
gums-teeth,1,1,0,0,1,mouth,345,NumberOfUniqueClues
happy-sad,1,1,0,0,1,emotion,346,NumberOfUniqueClues
holy-kind,0,2,1,0,0,upright,347,NumberOfUniqueClues
jump-leap,0,1,1,0,1,hop,348,NumberOfUniqueClues
lion-tiger,1,1,1,0,1,feline,349,NumberOfUniqueClues
new-old,1,1,0,0,1,time,350,NumberOfUniqueClues
oak-tree,1,1,0,0,1,plants,351,NumberOfUniqueClues
olive-real,0,1,0,1,0,sustenance,352,NumberOfUniqueClues
regret-rude,0,1,0,1,1,negative,353,NumberOfUniqueClues
sit-stand,0,1,0,2,1,legs,354,NumberOfUniqueClues
stern-wind,0,2,1,0,0,unseeable,355,NumberOfUniqueClues
trauma-weird,0,1,0,2,0,adolescence,356,NumberOfUniqueClues
ankle-travel,0,1,0,1,0,walk,357,NumberOfUniqueClues
army-drum,0,1,0,1,0,march,358,NumberOfUniqueClues
ash-snake,2,2,1,0,0,medusa,359,NumberOfUniqueClues
bet-dream,2,1,0,0,0,aspiration,360,NumberOfUniqueClues
birth-hand,0,2,1,2,0,contractions,361,NumberOfUniqueClues
bone-garage,3,0,0,0,0,dog,362,NumberOfUniqueClues
boot-crust,2,1,1,0,0,foot,363,NumberOfUniqueClues
bowl-sun,2,1,0,0,0,spherical,364,NumberOfUniqueClues
cage-glass,1,2,1,1,1,Petco,365,NumberOfUniqueClues
candle-wick,1,1,1,0,0,cake,366,NumberOfUniqueClues
cave-knight,1,1,0,1,0,medieval,367,NumberOfUniqueClues
chair-table,1,2,1,1,1,dining,368,NumberOfUniqueClues
chapel-feet,0,1,1,1,0,heels,369,NumberOfUniqueClues
east-short,0,1,0,1,0,direction,370,NumberOfUniqueClues
elm-rock,0,2,1,0,0,garden,371,NumberOfUniqueClues
giant-subtle,0,1,0,1,0,extremes,372,NumberOfUniqueClues
glow-quick,1,1,1,0,0,firework,373,NumberOfUniqueClues
gold-silver,1,1,1,0,0,jewelry,374,NumberOfUniqueClues
gums-teeth,1,1,0,0,1,dentist,375,NumberOfUniqueClues
happy-sad,1,1,0,0,1,emotions,376,NumberOfUniqueClues
holy-kind,3,0,0,0,0,god,377,NumberOfUniqueClues
jump-leap,0,1,0,1,1,high,378,NumberOfUniqueClues
lion-tiger,0,1,0,1,1,cat,379,NumberOfUniqueClues
new-old,1,1,0,1,0,replace,380,NumberOfUniqueClues
oak-tree,1,1,0,0,1,leaves,381,NumberOfUniqueClues
olive-real,1,1,0,0,0,natural,382,NumberOfUniqueClues
regret-rude,0,1,0,1,1,mean,383,NumberOfUniqueClues
sit-stand,0,1,0,1,1,chair,384,NumberOfUniqueClues
stern-wind,1,1,1,0,0,extreme,385,NumberOfUniqueClues
trauma-weird,0,1,1,1,0,war,386,NumberOfUniqueClues
ankle-travel,1,1,0,0,0,walk,387,NumberOfUniqueClues
army-drum,1,1,0,2,1,march,388,NumberOfUniqueClues
ash-snake,1,2,1,0,0,dangerous,389,NumberOfUniqueClues
bet-dream,1,1,0,0,0,speculate,390,NumberOfUniqueClues
birth-hand,0,1,0,1,1,deliver,391,NumberOfUniqueClues
boot-crust,0,1,0,1,0,bottom,392,NumberOfUniqueClues
bowl-sun,1,1,0,0,1,round,393,NumberOfUniqueClues
cage-glass,0,1,0,3,0,tank,394,NumberOfUniqueClues
candle-wick,0,1,0,2,1,fire,395,NumberOfUniqueClues
cave-knight,0,1,1,0,0,intimidating,396,NumberOfUniqueClues
east-short,0,1,0,2,0,direction,397,NumberOfUniqueClues
elm-rock,2,0,0,0,0,forest,398,NumberOfUniqueClues
giant-subtle,0,2,1,0,0,nimble,399,NumberOfUniqueClues
glow-quick,2,0,0,0,0,flash,400,NumberOfUniqueClues
gold-silver,3,1,0,0,1,metal,401,NumberOfUniqueClues
gums-teeth,2,2,1,0,1,mouth,402,NumberOfUniqueClues
happy-sad,1,1,0,0,1,emotions,403,NumberOfUniqueClues
holy-kind,2,1,1,0,0,righteous,404,NumberOfUniqueClues
jump-leap,1,1,1,0,1,hop,405,NumberOfUniqueClues
lion-tiger,0,1,0,1,1,cat,406,NumberOfUniqueClues
new-old,0,1,0,1,1,age,407,NumberOfUniqueClues
oak-tree,2,1,1,0,1,plant,408,NumberOfUniqueClues
olive-real,2,0,0,0,0,organic,409,NumberOfUniqueClues
regret-rude,2,0,0,0,1,unpleasant,410,NumberOfUniqueClues
sit-stand,1,1,0,1,1,legs,411,NumberOfUniqueClues
stern-wind,0,1,0,1,1,harsh,412,NumberOfUniqueClues
ankle-travel,0,1,0,3,0,jogging,413,NumberOfUniqueClues
army-drum,0,1,0,1,1,marching,414,NumberOfUniqueClues
