wordpair_id,gameID,target1,target2,variable,value,Prediction_SWOW
ash-snake,473184-487224,ash,snake,clueOption3,burn,1
ash-snake,473468-490173,ash,snake,clueOption1,ground,1
ash-snake,473468-490173,ash,snake,clueOption2,creepy,2
ash-snake,473468-490173,ash,snake,clueOption3,fire,1
ash-snake,473706-458155,ash,snake,clueOption1,mountain,1
ash-snake,473706-458155,ash,snake,clueOption2,hike,1
ash-snake,473706-458155,ash,snake,clueOption3,volcano,1
ash-snake,473706-458155,ash,snake,clueOption4,california,2
ash-snake,473706-458155,ash,snake,clueOption5,fire,1
ash-snake,473736-473763,ash,snake,clueOption1,reptile,2
ash-snake,473736-473763,ash,snake,clueOption2,volcano,1
ash-snake,473736-473763,ash,snake,clueOption3,toxic,2
ash-snake,473749-473360,ash,snake,clueOption1,gang,1
ash-snake,473749-473360,ash,snake,clueOption2,biker,2
ash-snake,473749-473360,ash,snake,clueOption3,evil,2
ash-snake,474297-455411,ash,snake,clueOption1,venom,2
ash-snake,474297-455411,ash,snake,clueOption2,burn,1
ash-snake,474297-455411,ash,snake,clueOption3,bite,2
ash-snake,474298-475599,ash,snake,clueOption1,die,1
ash-snake,474298-475599,ash,snake,clueOption2,grey,1
ash-snake,474298-475599,ash,snake,clueOption3,small,2
ash-snake,475267-490546,ash,snake,clueOption1,burn,1
ash-snake,475267-490546,ash,snake,clueOption2,slither,2
ash-snake,475267-490546,ash,snake,clueOption3,volcano,1
ash-snake,475267-490546,ash,snake,clueOption4,burnt,1
ash-snake,475267-490546,ash,snake,clueOption5,charred,1
ash-snake,475267-490546,ash,snake,clueOption6,flake,1
ash-snake,475267-490546,ash,snake,clueOption7,dragon,2
ash-snake,475561-473741,ash,snake,clueOption1,fire,1
ash-snake,475561-473741,ash,snake,clueOption2,smoke,1
ash-snake,475561-473741,ash,snake,clueOption3,b-school,2
ash-snake,475635-488152,ash,snake,clueOption1,voldemort,2
ash-snake,475635-488152,ash,snake,clueOption2,voodoo,2
ash-snake,475635-488152,ash,snake,clueOption3,magic,1
ash-snake,475843-472942,ash,snake,clueOption1,reptile,2
ash-snake,475843-472942,ash,snake,clueOption2,cig,2
ash-snake,475843-472942,ash,snake,clueOption3,shedding,2
ash-snake,475881-473301,ash,snake,clueOption1,gray,1
ash-snake,475881-473301,ash,snake,clueOption2,cinders,2
ash-snake,475881-473301,ash,snake,clueOption3,black,1
ash-snake,485894-457849,ash,snake,clueOption1,soot,1
ash-snake,485894-457849,ash,snake,clueOption2,poisonous,2
ash-snake,485894-457849,ash,snake,clueOption3,burn,1
ash-snake,486041-457632,ash,snake,clueOption1,poison,2
ash-snake,486041-457632,ash,snake,clueOption2,fire,1
ash-snake,486041-457632,ash,snake,clueOption3,voldemort,2
ash-snake,486041-457632,ash,snake,clueOption4,war,1
ash-snake,486041-457632,ash,snake,clueOption5,hiss,2
ash-snake,486051-473300,ash,snake,clueOption1,shed,2
ash-snake,486051-473300,ash,snake,clueOption2,desert,2
ash-snake,486051-473300,ash,snake,clueOption3,burn,1
ash-snake,486052-490835,ash,snake,clueOption1,slither,2
ash-snake,486052-490835,ash,snake,clueOption2,fire,1
