gameID,clueFinal,Acc,Level,wordpair_id,target1,target2,words_in_patch,patchsize
464255-486078,circular,0,Medium,bowl-sun,bowl,sun,"brunch,warm,hot,strawberry,round,summer,breakfast,football,ice cream,ceramic,circular,evaporate,soup,sky,circle,plate,cereal,star,daystar,salsa,sunshine,light,Aztecs,weather,yellow,Aztec",26
464313-456825,round,0,Medium,bowl-sun,bowl,sun,"brunch,warm,hot,strawberry,round,summer,breakfast,football,ice cream,ceramic,circular,evaporate,soup,sky,circle,plate,cereal,star,daystar,salsa,sunshine,light,Aztecs,weather,yellow,Aztec",26
464439-476054,circular,0,Medium,bowl-sun,bowl,sun,"brunch,warm,hot,strawberry,round,summer,breakfast,football,ice cream,ceramic,circular,evaporate,soup,sky,circle,plate,cereal,star,daystar,salsa,sunshine,light,Aztecs,weather,yellow,Aztec",26
465668-490018,reflection,0,Medium,bowl-sun,bowl,sun,"brunch,warm,hot,strawberry,round,summer,breakfast,football,ice cream,ceramic,circular,evaporate,soup,sky,circle,plate,cereal,star,daystar,salsa,sunshine,light,Aztecs,weather,yellow,Aztec",26
466145-475071,warm,0,Medium,bowl-sun,bowl,sun,"brunch,warm,hot,strawberry,round,summer,breakfast,football,ice cream,ceramic,circular,evaporate,soup,sky,circle,plate,cereal,star,daystar,salsa,sunshine,light,Aztecs,weather,yellow,Aztec",26
466195-455551,soup,0,Medium,bowl-sun,bowl,sun,"brunch,warm,hot,strawberry,round,summer,breakfast,football,ice cream,ceramic,circular,evaporate,soup,sky,circle,plate,cereal,star,daystar,salsa,sunshine,light,Aztecs,weather,yellow,Aztec",26
466351-465700,round,0,Medium,bowl-sun,bowl,sun,"brunch,warm,hot,strawberry,round,summer,breakfast,football,ice cream,ceramic,circular,evaporate,soup,sky,circle,plate,cereal,star,daystar,salsa,sunshine,light,Aztecs,weather,yellow,Aztec",26
472844-473444,ball,0,Medium,bowl-sun,bowl,sun,"brunch,warm,hot,strawberry,round,summer,breakfast,football,ice cream,ceramic,circular,evaporate,soup,sky,circle,plate,cereal,star,daystar,salsa,sunshine,light,Aztecs,weather,yellow,Aztec",26
472848-466189,circular,0,Medium,bowl-sun,bowl,sun,"brunch,warm,hot,strawberry,round,summer,breakfast,football,ice cream,ceramic,circular,evaporate,soup,sky,circle,plate,cereal,star,daystar,salsa,sunshine,light,Aztecs,weather,yellow,Aztec",26
473115-463794,soup,0,Medium,bowl-sun,bowl,sun,"brunch,warm,hot,strawberry,round,summer,breakfast,football,ice cream,ceramic,circular,evaporate,soup,sky,circle,plate,cereal,star,daystar,salsa,sunshine,light,Aztecs,weather,yellow,Aztec",26
473130-490559,circular,0,Medium,bowl-sun,bowl,sun,"brunch,warm,hot,strawberry,round,summer,breakfast,football,ice cream,ceramic,circular,evaporate,soup,sky,circle,plate,cereal,star,daystar,salsa,sunshine,light,Aztecs,weather,yellow,Aztec",26
473184-487224,cereal,0,Medium,bowl-sun,bowl,sun,"brunch,warm,hot,strawberry,round,summer,breakfast,football,ice cream,ceramic,circular,evaporate,soup,sky,circle,plate,cereal,star,daystar,salsa,sunshine,light,Aztecs,weather,yellow,Aztec",26
473468-490173,circular,1,Medium,bowl-sun,bowl,sun,"brunch,warm,hot,strawberry,round,summer,breakfast,football,ice cream,ceramic,circular,evaporate,soup,sky,circle,plate,cereal,star,daystar,salsa,sunshine,light,Aztecs,weather,yellow,Aztec",26
473645-477476,circular,0,Medium,bowl-sun,bowl,sun,"brunch,warm,hot,strawberry,round,summer,breakfast,football,ice cream,ceramic,circular,evaporate,soup,sky,circle,plate,cereal,star,daystar,salsa,sunshine,light,Aztecs,weather,yellow,Aztec",26
473706-458155,round,0,Medium,bowl-sun,bowl,sun,"brunch,warm,hot,strawberry,round,summer,breakfast,football,ice cream,ceramic,circular,evaporate,soup,sky,circle,plate,cereal,star,daystar,salsa,sunshine,light,Aztecs,weather,yellow,Aztec",26
473736-473763,breakfast,1,Medium,bowl-sun,bowl,sun,"brunch,warm,hot,strawberry,round,summer,breakfast,football,ice cream,ceramic,circular,evaporate,soup,sky,circle,plate,cereal,star,daystar,salsa,sunshine,light,Aztecs,weather,yellow,Aztec",26
473749-473360,round,0,Medium,bowl-sun,bowl,sun,"brunch,warm,hot,strawberry,round,summer,breakfast,football,ice cream,ceramic,circular,evaporate,soup,sky,circle,plate,cereal,star,daystar,salsa,sunshine,light,Aztecs,weather,yellow,Aztec",26
474297-455411,round,1,Medium,bowl-sun,bowl,sun,"brunch,warm,hot,strawberry,round,summer,breakfast,football,ice cream,ceramic,circular,evaporate,soup,sky,circle,plate,cereal,star,daystar,salsa,sunshine,light,Aztecs,weather,yellow,Aztec",26
474298-475599,round,0,Medium,bowl-sun,bowl,sun,"brunch,warm,hot,strawberry,round,summer,breakfast,football,ice cream,ceramic,circular,evaporate,soup,sky,circle,plate,cereal,star,daystar,salsa,sunshine,light,Aztecs,weather,yellow,Aztec",26
475267-490546,star,0,Medium,bowl-sun,bowl,sun,"brunch,warm,hot,strawberry,round,summer,breakfast,football,ice cream,ceramic,circular,evaporate,soup,sky,circle,plate,cereal,star,daystar,salsa,sunshine,light,Aztecs,weather,yellow,Aztec",26
475561-473741,round,1,Medium,bowl-sun,bowl,sun,"brunch,warm,hot,strawberry,round,summer,breakfast,football,ice cream,ceramic,circular,evaporate,soup,sky,circle,plate,cereal,star,daystar,salsa,sunshine,light,Aztecs,weather,yellow,Aztec",26
475635-488152,breakfast,0,Medium,bowl-sun,bowl,sun,"brunch,warm,hot,strawberry,round,summer,breakfast,football,ice cream,ceramic,circular,evaporate,soup,sky,circle,plate,cereal,star,daystar,salsa,sunshine,light,Aztecs,weather,yellow,Aztec",26
475843-472942,weed,0,Medium,bowl-sun,bowl,sun,"brunch,warm,hot,strawberry,round,summer,breakfast,football,ice cream,ceramic,circular,evaporate,soup,sky,circle,plate,cereal,star,daystar,salsa,sunshine,light,Aztecs,weather,yellow,Aztec",26
475881-473301,round,1,Medium,bowl-sun,bowl,sun,"brunch,warm,hot,strawberry,round,summer,breakfast,football,ice cream,ceramic,circular,evaporate,soup,sky,circle,plate,cereal,star,daystar,salsa,sunshine,light,Aztecs,weather,yellow,Aztec",26
485894-457849,circular,1,Medium,bowl-sun,bowl,sun,"brunch,warm,hot,strawberry,round,summer,breakfast,football,ice cream,ceramic,circular,evaporate,soup,sky,circle,plate,cereal,star,daystar,salsa,sunshine,light,Aztecs,weather,yellow,Aztec",26
486041-457632,spherical,0,Medium,bowl-sun,bowl,sun,"brunch,warm,hot,strawberry,round,summer,breakfast,football,ice cream,ceramic,circular,evaporate,soup,sky,circle,plate,cereal,star,daystar,salsa,sunshine,light,Aztecs,weather,yellow,Aztec",26
486051-473300,round,1,Medium,bowl-sun,bowl,sun,"brunch,warm,hot,strawberry,round,summer,breakfast,football,ice cream,ceramic,circular,evaporate,soup,sky,circle,plate,cereal,star,daystar,salsa,sunshine,light,Aztecs,weather,yellow,Aztec",26
486052-490835,round,0,Medium,bowl-sun,bowl,sun,"brunch,warm,hot,strawberry,round,summer,breakfast,football,ice cream,ceramic,circular,evaporate,soup,sky,circle,plate,cereal,star,daystar,salsa,sunshine,light,Aztecs,weather,yellow,Aztec",26
486112-490466,soup,0,Medium,bowl-sun,bowl,sun,"brunch,warm,hot,strawberry,round,summer,breakfast,football,ice cream,ceramic,circular,evaporate,soup,sky,circle,plate,cereal,star,daystar,salsa,sunshine,light,Aztecs,weather,yellow,Aztec",26
486514-466626,microwave,0,Medium,bowl-sun,bowl,sun,"brunch,warm,hot,strawberry,round,summer,breakfast,football,ice cream,ceramic,circular,evaporate,soup,sky,circle,plate,cereal,star,daystar,salsa,sunshine,light,Aztecs,weather,yellow,Aztec",26
487223-477222,spherical,0,Medium,bowl-sun,bowl,sun,"brunch,warm,hot,strawberry,round,summer,breakfast,football,ice cream,ceramic,circular,evaporate,soup,sky,circle,plate,cereal,star,daystar,salsa,sunshine,light,Aztecs,weather,yellow,Aztec",26
487409-487333,soup,0,Medium,bowl-sun,bowl,sun,"brunch,warm,hot,strawberry,round,summer,breakfast,football,ice cream,ceramic,circular,evaporate,soup,sky,circle,plate,cereal,star,daystar,salsa,sunshine,light,Aztecs,weather,yellow,Aztec",26
487468-490008,cereal,0,Medium,bowl-sun,bowl,sun,"brunch,warm,hot,strawberry,round,summer,breakfast,football,ice cream,ceramic,circular,evaporate,soup,sky,circle,plate,cereal,star,daystar,salsa,sunshine,light,Aztecs,weather,yellow,Aztec",26
488171-466122,circular,0,Medium,bowl-sun,bowl,sun,"brunch,warm,hot,strawberry,round,summer,breakfast,football,ice cream,ceramic,circular,evaporate,soup,sky,circle,plate,cereal,star,daystar,salsa,sunshine,light,Aztecs,weather,yellow,Aztec",26
490556-458799,round,0,Medium,bowl-sun,bowl,sun,"brunch,warm,hot,strawberry,round,summer,breakfast,football,ice cream,ceramic,circular,evaporate,soup,sky,circle,plate,cereal,star,daystar,salsa,sunshine,light,Aztecs,weather,yellow,Aztec",26
490576-485731,round,0,Medium,bowl-sun,bowl,sun,"brunch,warm,hot,strawberry,round,summer,breakfast,football,ice cream,ceramic,circular,evaporate,soup,sky,circle,plate,cereal,star,daystar,salsa,sunshine,light,Aztecs,weather,yellow,Aztec",26
490603-458355,weather,0,Medium,bowl-sun,bowl,sun,"brunch,warm,hot,strawberry,round,summer,breakfast,football,ice cream,ceramic,circular,evaporate,soup,sky,circle,plate,cereal,star,daystar,salsa,sunshine,light,Aztecs,weather,yellow,Aztec",26
490624-466707,circle,0,Medium,bowl-sun,bowl,sun,"brunch,warm,hot,strawberry,round,summer,breakfast,football,ice cream,ceramic,circular,evaporate,soup,sky,circle,plate,cereal,star,daystar,salsa,sunshine,light,Aztecs,weather,yellow,Aztec",26
491095-486542,clay,0,Medium,bowl-sun,bowl,sun,"brunch,warm,hot,strawberry,round,summer,breakfast,football,ice cream,ceramic,circular,evaporate,soup,sky,circle,plate,cereal,star,daystar,salsa,sunshine,light,Aztecs,weather,yellow,Aztec",26
454955-472987,mysterious,0,Hard,cave-knight,cave,knight,"dark,medieval,batman,soldier,quest,hide,old,dungeon,hidden,templar,brave,slay,shield,metal,valiant,dragon,Shrek,tale,adventure,silver,hiding,swords,stone,man,fight,sword",26
455383-451866,medieval,0,Hard,cave-knight,cave,knight,"dark,medieval,batman,soldier,quest,hide,old,dungeon,hidden,templar,brave,slay,shield,metal,valiant,dragon,Shrek,tale,adventure,silver,hiding,swords,stone,man,fight,sword",26
455606-490832,dark,1,Hard,cave-knight,cave,knight,"dark,medieval,batman,soldier,quest,hide,old,dungeon,hidden,templar,brave,slay,shield,metal,valiant,dragon,Shrek,tale,adventure,silver,hiding,swords,stone,man,fight,sword",26
455664-456812,batman,0,Hard,cave-knight,cave,knight,"dark,medieval,batman,soldier,quest,hide,old,dungeon,hidden,templar,brave,slay,shield,metal,valiant,dragon,Shrek,tale,adventure,silver,hiding,swords,stone,man,fight,sword",26
457037-457239,batman,0,Hard,cave-knight,cave,knight,"dark,medieval,batman,soldier,quest,hide,old,dungeon,hidden,templar,brave,slay,shield,metal,valiant,dragon,Shrek,tale,adventure,silver,hiding,swords,stone,man,fight,sword",26
457425-475416,soldier,1,Hard,cave-knight,cave,knight,"dark,medieval,batman,soldier,quest,hide,old,dungeon,hidden,templar,brave,slay,shield,metal,valiant,dragon,Shrek,tale,adventure,silver,hiding,swords,stone,man,fight,sword",26
457520-487881,dark,0,Hard,cave-knight,cave,knight,"dark,medieval,batman,soldier,quest,hide,old,dungeon,hidden,templar,brave,slay,shield,metal,valiant,dragon,Shrek,tale,adventure,silver,hiding,swords,stone,man,fight,sword",26
457564-463955,quest,0,Hard,cave-knight,cave,knight,"dark,medieval,batman,soldier,quest,hide,old,dungeon,hidden,templar,brave,slay,shield,metal,valiant,dragon,Shrek,tale,adventure,silver,hiding,swords,stone,man,fight,sword",26
458120-464965,dragon,1,Hard,cave-knight,cave,knight,"dark,medieval,batman,soldier,quest,hide,old,dungeon,hidden,templar,brave,slay,shield,metal,valiant,dragon,Shrek,tale,adventure,silver,hiding,swords,stone,man,fight,sword",26
458387-458129,dark,1,Hard,cave-knight,cave,knight,"dark,medieval,batman,soldier,quest,hide,old,dungeon,hidden,templar,brave,slay,shield,metal,valiant,dragon,Shrek,tale,adventure,silver,hiding,swords,stone,man,fight,sword",26
463818-486590,medieval,0,Hard,cave-knight,cave,knight,"dark,medieval,batman,soldier,quest,hide,old,dungeon,hidden,templar,brave,slay,shield,metal,valiant,dragon,Shrek,tale,adventure,silver,hiding,swords,stone,man,fight,sword",26
463852-487338,medieval,1,Hard,cave-knight,cave,knight,"dark,medieval,batman,soldier,quest,hide,old,dungeon,hidden,templar,brave,slay,shield,metal,valiant,dragon,Shrek,tale,adventure,silver,hiding,swords,stone,man,fight,sword",26
463890-465862,dungeon,0,Hard,cave-knight,cave,knight,"dark,medieval,batman,soldier,quest,hide,old,dungeon,hidden,templar,brave,slay,shield,metal,valiant,dragon,Shrek,tale,adventure,silver,hiding,swords,stone,man,fight,sword",26
463946-472824,medieval,0,Hard,cave-knight,cave,knight,"dark,medieval,batman,soldier,quest,hide,old,dungeon,hidden,templar,brave,slay,shield,metal,valiant,dragon,Shrek,tale,adventure,silver,hiding,swords,stone,man,fight,sword",26
463960-455649,intimidating,0,Hard,cave-knight,cave,knight,"dark,medieval,batman,soldier,quest,hide,old,dungeon,hidden,templar,brave,slay,shield,metal,valiant,dragon,Shrek,tale,adventure,silver,hiding,swords,stone,man,fight,sword",26
464103-465376,mysterious,0,Hard,cave-knight,cave,knight,"dark,medieval,batman,soldier,quest,hide,old,dungeon,hidden,templar,brave,slay,shield,metal,valiant,dragon,Shrek,tale,adventure,silver,hiding,swords,stone,man,fight,sword",26
464255-486078,dark,0,Hard,cave-knight,cave,knight,"dark,medieval,batman,soldier,quest,hide,old,dungeon,hidden,templar,brave,slay,shield,metal,valiant,dragon,Shrek,tale,adventure,silver,hiding,swords,stone,man,fight,sword",26
464313-456825,batman,0,Hard,cave-knight,cave,knight,"dark,medieval,batman,soldier,quest,hide,old,dungeon,hidden,templar,brave,slay,shield,metal,valiant,dragon,Shrek,tale,adventure,silver,hiding,swords,stone,man,fight,sword",26
464439-476054,brave,0,Hard,cave-knight,cave,knight,"dark,medieval,batman,soldier,quest,hide,old,dungeon,hidden,templar,brave,slay,shield,metal,valiant,dragon,Shrek,tale,adventure,silver,hiding,swords,stone,man,fight,sword",26
465668-490018,protection,1,Hard,cave-knight,cave,knight,"dark,medieval,batman,soldier,quest,hide,old,dungeon,hidden,templar,brave,slay,shield,metal,valiant,dragon,Shrek,tale,adventure,silver,hiding,swords,stone,man,fight,sword",26
466145-475071,shield,0,Hard,cave-knight,cave,knight,"dark,medieval,batman,soldier,quest,hide,old,dungeon,hidden,templar,brave,slay,shield,metal,valiant,dragon,Shrek,tale,adventure,silver,hiding,swords,stone,man,fight,sword",26
466195-455551,joust,0,Hard,cave-knight,cave,knight,"dark,medieval,batman,soldier,quest,hide,old,dungeon,hidden,templar,brave,slay,shield,metal,valiant,dragon,Shrek,tale,adventure,silver,hiding,swords,stone,man,fight,sword",26
466351-465700,dark,0,Hard,cave-knight,cave,knight,"dark,medieval,batman,soldier,quest,hide,old,dungeon,hidden,templar,brave,slay,shield,metal,valiant,dragon,Shrek,tale,adventure,silver,hiding,swords,stone,man,fight,sword",26
472844-473444,metal,0,Hard,cave-knight,cave,knight,"dark,medieval,batman,soldier,quest,hide,old,dungeon,hidden,templar,brave,slay,shield,metal,valiant,dragon,Shrek,tale,adventure,silver,hiding,swords,stone,man,fight,sword",26
472848-466189,dark,1,Hard,cave-knight,cave,knight,"dark,medieval,batman,soldier,quest,hide,old,dungeon,hidden,templar,brave,slay,shield,metal,valiant,dragon,Shrek,tale,adventure,silver,hiding,swords,stone,man,fight,sword",26
473115-463794,Excalibur,0,Hard,cave-knight,cave,knight,"dark,medieval,batman,soldier,quest,hide,old,dungeon,hidden,templar,brave,slay,shield,metal,valiant,dragon,Shrek,tale,adventure,silver,hiding,swords,stone,man,fight,sword",26
473130-490559,dark,1,Hard,cave-knight,cave,knight,"dark,medieval,batman,soldier,quest,hide,old,dungeon,hidden,templar,brave,slay,shield,metal,valiant,dragon,Shrek,tale,adventure,silver,hiding,swords,stone,man,fight,sword",26
473184-487224,Camelot,0,Hard,cave-knight,cave,knight,"dark,medieval,batman,soldier,quest,hide,old,dungeon,hidden,templar,brave,slay,shield,metal,valiant,dragon,Shrek,tale,adventure,silver,hiding,swords,stone,man,fight,sword",26
473468-490173,adventurous,1,Hard,cave-knight,cave,knight,"dark,medieval,batman,soldier,quest,hide,old,dungeon,hidden,templar,brave,slay,shield,metal,valiant,dragon,Shrek,tale,adventure,silver,hiding,swords,stone,man,fight,sword",26
473645-477476,dragon,0,Hard,cave-knight,cave,knight,"dark,medieval,batman,soldier,quest,hide,old,dungeon,hidden,templar,brave,slay,shield,metal,valiant,dragon,Shrek,tale,adventure,silver,hiding,swords,stone,man,fight,sword",26
473706-458155,medieval,1,Hard,cave-knight,cave,knight,"dark,medieval,batman,soldier,quest,hide,old,dungeon,hidden,templar,brave,slay,shield,metal,valiant,dragon,Shrek,tale,adventure,silver,hiding,swords,stone,man,fight,sword",26
473736-473763,shining,0,Hard,cave-knight,cave,knight,"dark,medieval,batman,soldier,quest,hide,old,dungeon,hidden,templar,brave,slay,shield,metal,valiant,dragon,Shrek,tale,adventure,silver,hiding,swords,stone,man,fight,sword",26
473749-473360,tale,0,Hard,cave-knight,cave,knight,"dark,medieval,batman,soldier,quest,hide,old,dungeon,hidden,templar,brave,slay,shield,metal,valiant,dragon,Shrek,tale,adventure,silver,hiding,swords,stone,man,fight,sword",26
474297-455411,dark,0,Hard,cave-knight,cave,knight,"dark,medieval,batman,soldier,quest,hide,old,dungeon,hidden,templar,brave,slay,shield,metal,valiant,dragon,Shrek,tale,adventure,silver,hiding,swords,stone,man,fight,sword",26
474298-475599,silver,1,Hard,cave-knight,cave,knight,"dark,medieval,batman,soldier,quest,hide,old,dungeon,hidden,templar,brave,slay,shield,metal,valiant,dragon,Shrek,tale,adventure,silver,hiding,swords,stone,man,fight,sword",26
475267-490546,dark,1,Hard,cave-knight,cave,knight,"dark,medieval,batman,soldier,quest,hide,old,dungeon,hidden,templar,brave,slay,shield,metal,valiant,dragon,Shrek,tale,adventure,silver,hiding,swords,stone,man,fight,sword",26
475561-473741,medieval,0,Hard,cave-knight,cave,knight,"dark,medieval,batman,soldier,quest,hide,old,dungeon,hidden,templar,brave,slay,shield,metal,valiant,dragon,Shrek,tale,adventure,silver,hiding,swords,stone,man,fight,sword",26
475635-488152,dark,0,Hard,cave-knight,cave,knight,"dark,medieval,batman,soldier,quest,hide,old,dungeon,hidden,templar,brave,slay,shield,metal,valiant,dragon,Shrek,tale,adventure,silver,hiding,swords,stone,man,fight,sword",26
475843-472942,home,0,Hard,cave-knight,cave,knight,"dark,medieval,batman,soldier,quest,hide,old,dungeon,hidden,templar,brave,slay,shield,metal,valiant,dragon,Shrek,tale,adventure,silver,hiding,swords,stone,man,fight,sword",26
475881-473301,medieval,0,Hard,cave-knight,cave,knight,"dark,medieval,batman,soldier,quest,hide,old,dungeon,hidden,templar,brave,slay,shield,metal,valiant,dragon,Shrek,tale,adventure,silver,hiding,swords,stone,man,fight,sword",26
485894-457849,dark,1,Hard,cave-knight,cave,knight,"dark,medieval,batman,soldier,quest,hide,old,dungeon,hidden,templar,brave,slay,shield,metal,valiant,dragon,Shrek,tale,adventure,silver,hiding,swords,stone,man,fight,sword",26
486041-457632,dragon,0,Hard,cave-knight,cave,knight,"dark,medieval,batman,soldier,quest,hide,old,dungeon,hidden,templar,brave,slay,shield,metal,valiant,dragon,Shrek,tale,adventure,silver,hiding,swords,stone,man,fight,sword",26
486051-473300,dark,0,Hard,cave-knight,cave,knight,"dark,medieval,batman,soldier,quest,hide,old,dungeon,hidden,templar,brave,slay,shield,metal,valiant,dragon,Shrek,tale,adventure,silver,hiding,swords,stone,man,fight,sword",26
486052-490835,medieval,0,Hard,cave-knight,cave,knight,"dark,medieval,batman,soldier,quest,hide,old,dungeon,hidden,templar,brave,slay,shield,metal,valiant,dragon,Shrek,tale,adventure,silver,hiding,swords,stone,man,fight,sword",26
486112-490466,underground,0,Hard,cave-knight,cave,knight,"dark,medieval,batman,soldier,quest,hide,old,dungeon,hidden,templar,brave,slay,shield,metal,valiant,dragon,Shrek,tale,adventure,silver,hiding,swords,stone,man,fight,sword",26
486514-466626,man,0,Hard,cave-knight,cave,knight,"dark,medieval,batman,soldier,quest,hide,old,dungeon,hidden,templar,brave,slay,shield,metal,valiant,dragon,Shrek,tale,adventure,silver,hiding,swords,stone,man,fight,sword",26
487223-477222,dungeon,1,Hard,cave-knight,cave,knight,"dark,medieval,batman,soldier,quest,hide,old,dungeon,hidden,templar,brave,slay,shield,metal,valiant,dragon,Shrek,tale,adventure,silver,hiding,swords,stone,man,fight,sword",26
487409-487333,medieval,1,Hard,cave-knight,cave,knight,"dark,medieval,batman,soldier,quest,hide,old,dungeon,hidden,templar,brave,slay,shield,metal,valiant,dragon,Shrek,tale,adventure,silver,hiding,swords,stone,man,fight,sword",26
487468-490008,dungeon,1,Hard,cave-knight,cave,knight,"dark,medieval,batman,soldier,quest,hide,old,dungeon,hidden,templar,brave,slay,shield,metal,valiant,dragon,Shrek,tale,adventure,silver,hiding,swords,stone,man,fight,sword",26
488171-466122,dark,0,Hard,cave-knight,cave,knight,"dark,medieval,batman,soldier,quest,hide,old,dungeon,hidden,templar,brave,slay,shield,metal,valiant,dragon,Shrek,tale,adventure,silver,hiding,swords,stone,man,fight,sword",26
490556-458799,iron,0,Hard,cave-knight,cave,knight,"dark,medieval,batman,soldier,quest,hide,old,dungeon,hidden,templar,brave,slay,shield,metal,valiant,dragon,Shrek,tale,adventure,silver,hiding,swords,stone,man,fight,sword",26
490576-485731,dark,1,Hard,cave-knight,cave,knight,"dark,medieval,batman,soldier,quest,hide,old,dungeon,hidden,templar,brave,slay,shield,metal,valiant,dragon,Shrek,tale,adventure,silver,hiding,swords,stone,man,fight,sword",26
490603-458355,castle,0,Hard,cave-knight,cave,knight,"dark,medieval,batman,soldier,quest,hide,old,dungeon,hidden,templar,brave,slay,shield,metal,valiant,dragon,Shrek,tale,adventure,silver,hiding,swords,stone,man,fight,sword",26
490624-466707,dark,0,Hard,cave-knight,cave,knight,"dark,medieval,batman,soldier,quest,hide,old,dungeon,hidden,templar,brave,slay,shield,metal,valiant,dragon,Shrek,tale,adventure,silver,hiding,swords,stone,man,fight,sword",26
491095-486542,dungeon,1,Hard,cave-knight,cave,knight,"dark,medieval,batman,soldier,quest,hide,old,dungeon,hidden,templar,brave,slay,shield,metal,valiant,dragon,Shrek,tale,adventure,silver,hiding,swords,stone,man,fight,sword",26
454955-472987,firefly,0,Medium,glow-quick,glow,quick,"candle,light,makeup,fast,puberty,fire,overwhelming,match,speed,flame,flash,firefly,lighter,fireworks,lightning bug,flashlight,asteroid,shiny,sparkler,bright,firework,shine,adjectives,glowstick,flicker,lightening,highlight,spark,synonyms,firecracker,meteor,lightning,jellyfish",33
455383-451866,light,0,Medium,glow-quick,glow,quick,"candle,light,makeup,fast,puberty,fire,overwhelming,match,speed,flame,flash,firefly,lighter,fireworks,lightning bug,flashlight,asteroid,shiny,sparkler,bright,firework,shine,adjectives,glowstick,flicker,lightening,highlight,spark,synonyms,firecracker,meteor,lightning,jellyfish",33
